11:34:44.698
Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_Location,Accel_X,Accel_Y,Accel_Z
2025-07-21 11:34:48.736,-24.8,0.67,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.046,-0.001,-0.987
2025-07-21 11:34:48.787,-24.8,0.67,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.093,0.008,-0.95
2025-07-21 11:34:48.837,-24.8,0.67,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.019,0.019,-1.067
2025-07-21 11:34:48.890,-24.8,0.67,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.082,-0.01,-1.032
2025-07-21 11:34:48.940,-24.8,0.67,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.025,0.018,-1.061
2025-07-21 11:34:48.991,-24.8,0.67,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.049,-0.008,-0.99
2025-07-21 11:34:49.041,-24.8,0.67,0.28,0.0,-27.9,-273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.048,-0.033,-1.007
2025-07-21 11:34:49.092,-24.8,0.67,0.3,0.0,-27.88,-273.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.096,0.016,-0.97
2025-07-21 11:34:49.142,-24.8,0.67,0.3,0.0,-27.88,-273.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.038,0.055,-1.035
2025-07-21 11:34:49.193,-24.8,0.67,0.3,0.0,-27.88,-273.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.052,-0.021,-1.012
2025-07-21 11:34:49.243,-24.8,0.67,0.3,0.0,-27.88,-273.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.055,0.003,-1.032
2025-07-21 11:34:49.298,-24.79,0.67,0.3,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.036,0.022,-1.061
2025-07-21 11:34:49.348,-24.79,0.67,0.3,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.056,-0.02,-1.062
2025-07-21 11:34:49.399,-24.79,0.67,0.3,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.059,0.04,-0.992
2025-07-21 11:34:49.449,-24.79,0.67,0.3,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.042,0.026,-0.975
2025-07-21 11:34:49.500,-24.79,0.69,0.3,0.0,-27.85,-272.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.056,0.002,-1.059
2025-07-21 11:34:49.550,-24.79,0.69,0.3,0.0,-27.85,-272.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.095,0.075,-0.979
2025-07-21 11:34:49.601,-24.79,0.69,0.3,0.0,-27.85,-272.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.114,0.033,-1.05
2025-07-21 11:34:49.658,-24.79,0.69,0.3,0.0,-27.85,-272.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.052,-0.028,-1.002
2025-07-21 11:34:49.710,-24.79,0.69,0.3,0.0,-27.85,-272.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.093,-0.028,-1.042
2025-07-21 11:34:49.765,-24.79,0.69,0.3,0.0,-27.85,-272.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.057,0.007,-0.997
2025-07-21 11:34:49.815,-24.79,0.69,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.056,0.007,-0.974
2025-07-21 11:34:49.866,-24.79,0.69,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.01,0.02,-1.001
2025-07-21 11:34:49.916,-24.79,0.69,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.108,0.002,-1.033
2025-07-21 11:34:49.967,-24.79,0.69,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.049,0.041,-1.022
2025-07-21 11:34:50.017,-24.8,0.69,0.28,0.0,-27.88,-273.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.03,-0.001,-1.024
2025-07-21 11:34:50.068,-24.8,0.69,0.28,0.0,-27.88,-273.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.088,-0.054,-1.087
2025-07-21 11:34:50.118,-24.8,0.69,0.28,0.0,-27.88,-273.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.018,-0.004,-0.966
2025-07-21 11:34:50.169,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.067,0.021,-0.984
2025-07-21 11:34:50.219,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.081,0.001,-1.005
2025-07-21 11:34:50.270,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.059,-0.005,-0.972
2025-07-21 11:34:50.320,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.06,-0.006,-1.032
2025-07-21 11:34:50.371,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.075,-0.012,-1.002
2025-07-21 11:34:50.421,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.013,0.05,-1.037
2025-07-21 11:34:50.472,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.129,0.033,-1.055
2025-07-21 11:34:50.522,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.121,-0.041,-1.044
2025-07-21 11:34:50.573,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.064,-0.029,-1.002
2025-07-21 11:34:50.623,-24.8,0.7,0.28,0.0,-27.87,-273.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.123,0.027,-1.047
